epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.121,1.98064,8.02975,0.52493,1.94961,1.28366,0.69986,0.69617,0.71982,0.34696,0.19654,0.1823,0.05747,0.01099,1.73092,6.97987,0.23019,1.82371,1.15409,0.000663265,0.000663265,0.000663265
2,201.498,1.8369,6.64766,0.30303,1.23515,1.19315,0.70252,0.58388,0.64302,0.30828,0.39526,0.27802,0.169,0.05825,1.80785,6.45183,0.13771,2.14604,1.2222,0.00132335,0.00132335,0.00132335
3,292.604,1.85746,6.17183,0.28501,1.21812,1.20868,0.77845,0.72655,0.76855,0.34843,0.41754,0.3646,0.22871,0.08348,1.81135,6.15079,0.13433,2.29709,1.21204,0.00197683,0.00197683,0.00197683
4,383.209,1.83445,5.80124,0.27827,1.21421,1.20906,0.7404,0.61411,0.70448,0.33695,0.48647,0.36063,0.28804,0.10718,1.727,5.71764,0.13524,1.99285,1.17148,0.0019703,0.0019703,0.0019703
5,474.193,1.75068,5.71834,0.2576,1.14853,1.16303,0.79458,0.7107,0.79836,0.39803,0.49944,0.43857,0.32191,0.13783,nan,nan,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,564.84,1.68723,5.29461,0.267,1.07246,1.14361,0.87478,0.84148,0.88538,0.46558,0.5382,0.50991,0.38156,0.17364,1.58827,5.28038,0.11856,1.37849,1.1297,0.0019505,0.0019505,0.0019505
7,655.463,1.60177,5.2018,0.25738,0.99831,1.10312,0.90845,0.82695,0.88709,0.47343,0.56108,0.48971,0.35821,0.1793,1.58433,5.32351,0.11433,1.14328,1.13946,0.0019406,0.0019406,0.0019406
8,749.71,1.61516,5.10081,0.23521,0.99006,1.10617,0.87188,0.84016,0.89836,0.51864,0.60197,0.5786,0.46743,0.25338,1.47807,4.8685,0.10924,0.90661,1.0992,0.0019307,0.0019307,0.0019307
9,843.735,1.53733,4.83416,0.23862,0.94124,1.08545,0.89731,0.84259,0.91595,0.52413,0.62284,0.57199,0.4628,0.20925,1.44839,4.8859,0.1032,0.88089,1.08658,0.0019208,0.0019208,0.0019208
10,937.403,1.50557,4.7339,0.23203,0.93809,1.06565,0.92371,0.83177,0.91574,0.55704,0.66582,0.5469,0.45958,0.24755,1.3688,4.73718,0.10358,0.96,1.04766,0.0019109,0.0019109,0.0019109
11,1028.18,1.48495,4.59938,0.22519,0.89951,1.06164,0.93527,0.86658,0.93436,0.57255,0.61664,0.56671,0.42566,0.24442,1.3162,4.82048,0.10409,0.84154,1.03361,0.001901,0.001901,0.001901
12,1118.82,1.49046,4.68752,0.22364,0.92881,1.06024,0.89162,0.84765,0.90537,0.52884,0.60926,0.57067,0.46464,0.26296,1.42137,4.60866,0.1022,0.95932,1.05347,0.0018911,0.0018911,0.0018911
13,1210.22,1.45415,4.35118,0.21564,0.87707,1.04684,0.94848,0.85073,0.93116,0.55438,0.65504,0.58124,0.47841,0.28608,1.34465,4.42142,0.09319,0.84814,1.02106,0.0018812,0.0018812,0.0018812
