epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,117.217,2.03755,8.45911,0.60914,2.13757,1.33811,0.77563,0.79471,0.84863,0.45436,0.07422,0.12846,0.01446,0.00215,1.54502,7.23012,0.4117,0.99469,1.06323,0.00995122,0.00331707,0.00995122,0.00331707,0.00995122,0.00331707,0.00995122,0.00331707
2,219.968,1.73756,6.45456,0.37498,1.10902,1.13429,0.80234,0.7924,0.8607,0.38231,0.39987,0.37909,0.19757,0.05553,1.79216,6.09993,0.20979,1.17675,1.16621,0.0198525,0.00661749,0.0198525,0.00661749,0.0198525,0.00661749,0.0198525,0.00661749
3,313.192,1.89792,6.21719,0.3196,1.29619,1.21679,0.69785,0.5466,0.58774,0.26447,0.35855,0.27244,0.15469,0.03763,2.03086,6.67765,0.17072,2.09946,1.38387,0.0296547,0.0098849,0.0296547,0.0098849,0.0296547,0.0098849,0.0296547,0.0098849
4,405.751,1.94319,5.97751,0.28542,1.34836,1.25273,0.67729,0.57935,0.60189,0.2549,0.3943,0.33753,0.19253,0.06925,1.95142,5.96788,0.14785,3.70334,1.32573,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,497.164,1.91288,5.7852,0.26826,1.31539,1.24357,0.78908,0.74444,0.78866,0.37539,0.46867,0.43327,0.27945,0.10419,1.75591,5.61223,0.13174,1.25467,1.22341,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,589.081,1.819,5.4213,0.25522,1.22073,1.21671,0.67341,0.49244,0.55301,0.25619,0.33435,0.26322,0.15375,0.07048,2.08955,6.78912,0.15618,1.84467,1.38735,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,681.263,1.77711,5.2356,0.25002,1.19958,1.19214,0.81739,0.72418,0.79054,0.39321,0.58949,0.44584,0.39166,0.19098,1.77271,5.28427,0.11372,1.2229,1.24839,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,774.305,1.70943,4.94767,0.22944,1.13035,1.1618,0.83084,0.75467,0.82826,0.42739,0.5408,0.50126,0.35962,0.16929,1.62244,4.9972,0.10411,1.23897,1.17159,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,866.454,1.68742,4.96852,0.225,1.1089,1.15391,0.85924,0.73048,0.82022,0.43084,0.5948,0.47985,0.36747,0.20144,1.67241,4.97278,0.10871,1.14022,1.18095,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,958.393,1.66944,4.76303,0.21809,1.08429,1.14546,0.87815,0.75693,0.85191,0.45364,0.63254,0.48564,0.39301,0.21906,1.62226,4.77211,0.10287,1.08378,1.1568,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
